LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,TS,WS50M,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOT,QV2M,T2MDEW,WS50M_MAX,WS50M_MIN
20.24321,85.84161,2016,5,20,1.99,27.75,8.62,27.58,25.76,29.62,86.81,79.02,20.33,25.19,11.54,4.45
20.24321,85.84161,2016,5,21,6.81,31.58,5.47,30.5,24.97,37.31,66.92,3.34,18.5,23.55,8.29,0.95
20.24321,85.84161,2016,5,22,6.14,32.36,5.89,31.75,27.89,37.81,73.37,11.08,21.8,26.33,8.07,4.23
20.24321,85.84161,2016,5,23,6.77,33.82,4.39,33,28.37,39.57,63.45,6.05,20.22,24.9,7.64,1.32
20.24321,85.84161,2016,5,24,6.64,34.05,3.38,32.81,27.87,39.77,64.29,2.52,20.26,24.97,7.33,0.31
20.24321,85.84161,2016,5,25,6.69,33.98,4.24,32.95,28.85,39.12,64.62,4.21,20.54,25.18,8.69,1.64
20.24321,85.84161,2016,5,26,6.85,33.77,3.58,32.86,27.8,39.56,60.36,6.11,19.05,23.79,7.22,0.91
20.24321,85.84161,2016,5,27,4.62,34.44,4.28,33.27,27.67,39.73,57.09,1.68,18.41,23.33,6.8,2.19
20.24321,85.84161,2016,5,28,6.65,33.83,3.95,32.66,28.18,38.73,63.53,3.76,19.8,24.65,7.42,1.46
20.24321,85.84161,2016,5,29,4.57,32.6,3.42,31.47,28.25,35.76,65.79,4.29,19.15,24.19,6.61,0.86
20.24321,85.84161,2016,5,30,5.64,33.05,4.68,31.41,27.31,36.93,67.09,1.99,19.48,24.52,6.9,2.81
20.24321,85.84161,2016,5,31,6.36,32.6,4.05,31.07,27.64,35.31,71.1,4.11,20.23,25.17,5.83,2.59
20.24321,85.84161,2016,6,1,5.65,31.43,4.98,30.65,28.12,34.35,73.05,8.75,20.28,25.23,6.03,4.25
20.24321,85.84161,2016,6,2,6.63,30.65,3.73,29.8,27.32,33.05,78.53,6.56,20.78,25.65,6.17,1.74
20.24321,85.84161,2016,6,3,3.98,28.97,4.87,28.88,27.04,30.62,85.64,12.89,21.5,26.23,5.8,3.85
20.24321,85.84161,2016,6,4,3.41,29.22,3.91,28.6,26.47,31.56,78.74,11.43,19.41,24.54,5.06,3.01
20.24321,85.84161,2016,6,5,4.52,30.87,3.18,29.42,26.4,33.05,74.85,2.38,19.34,24.49,5.5,1.22
20.24321,85.84161,2016,6,6,4.04,30.65,4.46,29.52,26.76,32.56,76.01,2.47,19.76,24.85,6.44,2.69
20.24321,85.84161,2016,6,7,5.16,30.32,4.76,29.47,27.31,32.38,77.95,7.02,20.22,25.22,5.93,3.27
20.24321,85.84161,2016,6,8,3.83,30.03,4.5,29,26.65,32.24,79.3,8.17,20.06,25.05,6.21,1.37
20.24321,85.84161,2016,6,9,4.03,29.19,6.1,29.03,27.02,31.77,80.85,8.75,20.52,25.41,9.26,4.28
