LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
20.24321,85.84161,2012,3,1,6.1
20.24321,85.84161,2012,3,2,5.81
20.24321,85.84161,2012,3,3,6.45
20.24321,85.84161,2012,3,4,6.52
20.24321,85.84161,2012,3,5,6.49
20.24321,85.84161,2012,3,6,6.58
20.24321,85.84161,2012,3,7,6.54
20.24321,85.84161,2012,3,8,6.68
20.24321,85.84161,2012,3,9,6.64
20.24321,85.84161,2012,3,10,6.56
20.24321,85.84161,2012,3,11,6.2
20.24321,85.84161,2012,3,12,6.48
20.24321,85.84161,2012,3,13,5.69
20.24321,85.84161,2012,3,14,6.59
20.24321,85.84161,2012,3,15,6.97
20.24321,85.84161,2012,3,16,6.66
20.24321,85.84161,2012,3,17,6.84
20.24321,85.84161,2012,3,18,6.85
20.24321,85.84161,2012,3,19,6.86
20.24321,85.84161,2012,3,20,6.99
20.24321,85.84161,2012,3,21,6.98
20.24321,85.84161,2012,3,22,6.87
20.24321,85.84161,2012,3,23,7.19
20.24321,85.84161,2012,3,24,7.16
20.24321,85.84161,2012,3,25,7.19
20.24321,85.84161,2012,3,26,7.09
20.24321,85.84161,2012,3,27,7.12
20.24321,85.84161,2012,3,28,7.05
20.24321,85.84161,2012,3,29,7.09
20.24321,85.84161,2012,3,30,7.06
20.24321,85.84161,2012,3,31,4.79
20.24321,85.84161,2012,4,1,7.01
20.24321,85.84161,2012,4,2,7.04
20.24321,85.84161,2012,4,3,7.09
20.24321,85.84161,2012,4,4,6.78
20.24321,85.84161,2012,4,5,6.59
20.24321,85.84161,2012,4,6,7.06
20.24321,85.84161,2012,4,7,6.98
20.24321,85.84161,2012,4,8,6.94
20.24321,85.84161,2012,4,9,7.06
20.24321,85.84161,2012,4,10,6.93
20.24321,85.84161,2012,4,11,4.23
20.24321,85.84161,2012,4,12,6.66
20.24321,85.84161,2012,4,13,3.78
20.24321,85.84161,2012,4,14,7.15
20.24321,85.84161,2012,4,15,7.13
20.24321,85.84161,2012,4,16,7.11
20.24321,85.84161,2012,4,17,6.69
20.24321,85.84161,2012,4,18,7.13
20.24321,85.84161,2012,4,19,7.06
20.24321,85.84161,2012,4,20,6.69
20.24321,85.84161,2012,4,21,7.19
20.24321,85.84161,2012,4,22,6.79
20.24321,85.84161,2012,4,23,5.29
20.24321,85.84161,2012,4,24,6.7
20.24321,85.84161,2012,4,25,7.2
20.24321,85.84161,2012,4,26,4.36
20.24321,85.84161,2012,4,27,7.21
20.24321,85.84161,2012,4,28,3.88
20.24321,85.84161,2012,4,29,6.58
20.24321,85.84161,2012,4,30,7.23
20.24321,85.84161,2012,5,1,5.82
20.24321,85.84161,2012,5,2,7.37
20.24321,85.84161,2012,5,3,7.21
20.24321,85.84161,2012,5,4,6.39
20.24321,85.84161,2012,5,5,5.93
20.24321,85.84161,2012,5,6,6.47
20.24321,85.84161,2012,5,7,7.43
20.24321,85.84161,2012,5,8,7.4
20.24321,85.84161,2012,5,9,6.88
20.24321,85.84161,2012,5,10,6.63
20.24321,85.84161,2012,5,11,7.28
20.24321,85.84161,2012,5,12,5.81
20.24321,85.84161,2012,5,13,6.87
20.24321,85.84161,2012,5,14,6.89
20.24321,85.84161,2012,5,15,7.2
20.24321,85.84161,2012,5,16,7.17
20.24321,85.84161,2012,5,17,6.82
20.24321,85.84161,2012,5,18,7.25
20.24321,85.84161,2012,5,19,7.36
20.24321,85.84161,2012,5,20,6.9
20.24321,85.84161,2012,5,21,7.41
20.24321,85.84161,2012,5,22,7.29
20.24321,85.84161,2012,5,23,7.22
